City,Name of Attraction,Category,Hours,Rating,Cost (euro),,Ciudades,,Types of categories
Rome,Roman Gladiator School,Classes and Workshop,2,10,103.21,,,,
Rome,Roman Mosaic Workshop,Classes and Workshop,2,10,100.86,,,,
Rome,Paint and Sip Rome,Classes and Workshop,2,10,79.62,,,,
Rome,Ice Club,Nightlife,1,8,15,,,,
Rome,Peaky Blinders,Nightlife,2,10,0,,,,
Rome,Stadio Olimpico,Fun and Games,2,8,80,,,,
Rome,La Fattoria degli Animali,Zoo and Aquariums,2,6,10,,,,
Rome,Colle del Gianicolo,Nature and Parks,1,9,0,,,,
Rome,Parco degli Acquedotti,Nature and Parks,2,9,0,,,,
Rome,Bioparco di Roma,Zoo and Aquariums,3,7,16,,,,
Rome,Luneur Nature and Parks,Water and Amusement Parks,3,7,16,,,,
Lisboa,Oceanario de Lisboa,Zoo and Aquariums,3,9,19,,,,
Lisboa,Mosteiro dos Jeronimos,Landmark,3,9,24.16,,,,
Lisboa,Calouste Gulbenkian Museum,Museum,2,9,14.76,,,,
Lisboa,Museu Nacional do Azulejo,Museum,3,9,6,,,,
Lisboa,Estadio do Sport Lisboa e Benfica,Fun and Games,2,9,20,,,,
Lisboa,Parque das Nacoes,Landmark,2,9,0,,,,
Lisboa,Palácio Nacional da Ajuda,Landmark,2,9,5,,,,
Lisboa,Carmo Archaeological Museum,Museum,1,9,5,,,,
Lisboa,Arco do Triunfo,Landmark,1,9,3.45,,,,
Lisboa,Torre de Belen,Landmark,3,8,8.5,,,,
Lisboa,Parque Eduardo VII,Nature and Parks,1,8,0,,,,
Lisboa,Santa Maria de Belem Church,Landmark,1,9,0,,,,
Lisboa,2 Hour Lisbon Sunset and Wine Sailing Tour,BoatTours and WaterSports,2,10,41.15,,,,
Lisboa,Lisbon Traditional Boats - Sunset Cruise,BoatTours and WaterSports,2,10,40.17,,,,
Lisboa,Lisbon Surf Experience,Classes and Workshop,4,10,45.91,,,,
Lisboa,Lisbon Night Photography Walking Tour,Classes and Workshop,3,10,43.61,,,,
Lisboa,Lisbon Salsa Lovers dancing experience,Classes and Workshop,2,8,103.29,,,,
Lisboa,Casino Lisboa,Casinos,2,7,0,,,,
Lisboa,Jardim Zoologico,Zoo and Aquariums,4,9,22.5,,,,
Lisboa,Cinco Lounge,Nightlife,3,9,0,,,,
Lisboa,Rossio Square,Landmark,1,8,0,,,,
Lisboa,GoCar Historic Lisbon Experience,Fun and Games,4,9,17.62,,,,
Lisboa,Costa de Caparica,Nature and Parks,2,8,0,,,,
Lisboa,Jardim Botânico d'Ajuda,Nature and Parks,1,8,2,,,,
Lisboa,Jardim Amália Rodrigues,Nature and Parks,1,8,5,,,,
Lisboa,Paddle Tour,Classes and Workshop,8,9,88.29,,,,
Lisboa,Amphibious Sightseeing Tour in Lisbon,BoatTours and WaterSports,2,10,32.14,,,,
Lisboa,Dolphin Watching in Lisbon,BoatTours and WaterSports,3,10,68.86,,,,
Lisboa,Berlenga Island Small-Group Day Trip from Lisbon,BoatTours and WaterSports,10,9,114.31,,,,
Lisboa,Lisbon Yellow Boat River Hop-On Hop-Off Tour,BoatTours and WaterSports,2,7,22.95,,,,
Lisboa,Game Over Escape Rooms,Fun and Games,2,10,8,,,,
Marseille,Segway Trip,Fun and Games,2,10,40,,,,
Marseille,Food Tourism ,Nightlife,3,8,79,,,,
Marseille,Scuba Diving ,BoatTours and WaterSports,5,10,60,,,,
Marseille,Basilique Notre Dame de la Garde,Landmark,1,8,0,,,,
Marseille,Orange Velodrome,Landmark,2,7,25,,,,
Marseille,Ok Corral ,Water and Amusement Parks,8,7,40,,,,
Marseille,Boat Navigation,BoatTours and WaterSports,8,8,130,,,,
Marseille,Bike Ride Tour ,Nature and Parks,4,6,30,,,,
Marseille,Palais du Pharo ,Nature and Parks,1,8,0,,,,
Marseille,Cathedrale de la Major,Landmark,1,7,5,,,,
Marseille,Muceum,Museum,3,7,15,,,,
Marseille,Parc National de Calanques,Landmark,2,10,0,,,,
Marseille,Nautic Bar ,Nightlife,3,7,20,,,,
Marseille,La Canebeire,Landmark,2,5,0,,,,
Marseille,Le Musee de la Motto,Museum,3,2,42,,,,
Marseille,Yamzz Club,Nightlife,4,8,30,,,,
Marseille,SuperMache Casino ,Casinos,2,7,14,,,,
Marseille,Chez Pablo ,Nightlife,3,6,33.3,,,,
Marseille,For San Nicholas,Landmark,1,7,0,,,,
Marseille,Soins Spa,Spas and Wellness,5,8,30,,,,
Marseille,Real Escape Room,Fun and Games,3,9,20,,,,
Marseille,The Museum of European and Mediterranean Civilisations,Museum,4,8,25,,,,
Marseille,Petanque in Marseille ,Classes and Workshop,1,7,9.99,,,,
Marseille,Parque Borély,Nature and Parks,2,9,7,,,,
Marseille,Maxi Zoo,Zoo and Aquariums,4,8,15.4,,,,
Marseille,Casino Lodicom ,Casinos,3,7,51.3,,,,
Marseille,Cadiere Julien ,Water and Amusement Parks,5,6,10.5,,,,
Marseille,Legendes d'animaux,Zoo and Aquariums,8,5,30.9,,,,
